date,new_diagnoses,cum_diagnoses_article,cum_diagnoses,new_recoveries,cum_recoveries,new_deaths,cum_deaths,cum_tests,new_tests,adults,cum_children,new_children,cur_children,n_critical,ventilation,hospitalised,1vac,2vac,positive_percent,yandex_index,asympt_percent
2020-03-12,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,0.6,
2020-03-13,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,0.6,
2020-03-14,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,2.0,
2020-03-15,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,2.7,4.0
2020-03-16,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,0.7,
2020-03-17,0.0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,0.7,
2020-03-18,1.0,1,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,,1.0,
2020-03-19,1.0,2,2.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,,42.0,,,,,,1.1,
2020-03-20,2.0,4,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-4.0,,,,,,,,1.1,
2020-03-21,0.0,4,4.0,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,73.0,,,,,,2.5,
2020-03-22,0.0,4,4.0,0.0,0.0,0.0,0.0,,,0.0,5.0,-1.0,,49.0,,,,,,3.1,
2020-03-23,0.0,4,4.0,0.0,0.0,0.0,0.0,,,5.0,0.0,-5.0,,,,,,,,1.2,
2020-03-24,0.0,4,4.0,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,52.0,,,,,,1.2,43.0
2020-03-25,0.0,4,4.0,0.0,0.0,0.0,0.0,,,0.0,7.0,1.0,,55.0,,,,,,1.1,46.0
2020-03-26,1.0,5,5.0,0.0,0.0,0.0,0.0,,,0.0,7.0,0.0,,57.0,,,,,,1.2,
2020-03-27,0.0,5,5.0,0.0,0.0,0.0,0.0,,,0.0,11.0,4.0,,66.0,,,,,,1.2,40.0
2020-03-28,2.0,7,7.0,0.0,1.0,0.0,0.0,,,0.0,11.0,0.0,,58.0,,,,,,2.8,
2020-03-29,1.0,8,8.0,0.0,1.0,0.0,0.0,,,0.0,0.0,-11.0,,,,,,,,3.4,41.0
2020-03-30,1.0,9,9.0,0.0,1.0,0.0,0.0,,,0.0,16.0,16.0,,69.0,,,,,,2.4,
2020-03-31,0.0,9,9.0,0.0,1.0,0.0,0.0,,,0.0,18.0,2.0,,68.0,,,,,,2.5,
2020-04-01,1.0,10,10.0,0.0,2.0,0.0,0.0,,,0.0,17.0,-1.0,,61.0,,,,,,3.3,
2020-04-02,0.0,10,10.0,0.0,2.0,0.0,0.0,,,0.0,16.0,-1.0,,56.0,,,,,,3.3,
2020-04-03,0.0,10,10.0,0.0,2.0,0.0,0.0,,,0.0,19.0,3.0,,62.0,,,,,,3.2,
2020-04-04,0.0,10,10.0,0.0,2.0,0.0,0.0,,,20.0,0.0,-19.0,,,,,,,,3.6,37.0
2020-04-05,1.0,11,11.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,3.8,
2020-04-06,0.0,11,11.0,0.0,2.0,0.0,0.0,,,0.0,22.0,22.0,,60.0,,,,,,2.5,
2020-04-07,0.0,11,11.0,0.0,2.0,0.0,0.0,,,0.0,15.0,-7.0,,55.0,,,,,,2.4,
2020-04-08,2.0,13,13.0,0.0,7.0,0.0,0.0,,,0.0,15.0,0.0,,57.0,,,,,,2.5,
2020-04-09,5.0,18,18.0,0.0,7.0,0.0,0.0,,,0.0,12.0,-3.0,,54.0,,,,,,2.5,
2020-04-10,3.0,21,21.0,0.0,8.0,0.0,0.0,,,13.0,0.0,-12.0,,,,,,,,2.4,
2020-04-11,7.0,28,28.0,0.0,10.0,0.0,0.0,,,0.0,17.0,17.0,,76.0,,,,,,3.1,
2020-04-12,0.0,28,28.0,0.0,10.0,0.0,0.0,,,23.0,0.0,-17.0,,,,,,,,3.4,
2020-04-13,8.0,36,36.0,0.0,10.0,0.0,0.0,,,0.0,23.0,23.0,,125.0,,,,,,2.2,
2020-04-14,0.0,36,36.0,0.0,10.0,0.0,0.0,,,0.0,21.0,-2.0,,139.0,,,,,,2.1,
2020-04-15,17.0,53,53.0,0.0,12.0,0.0,0.0,,,0.0,19.0,-2.0,,133.0,,,,,,2.1,
2020-04-16,11.0,64,64.0,0.0,14.0,1.0,1.0,,,0.0,19.0,0.0,,126.0,,,,,,2.1,
2020-04-17,12.0,76,76.0,0.0,16.0,1.0,2.0,,,4.0,24.0,5.0,,137.0,,,,,,2.0,
2020-04-18,10.0,86,86.0,0.0,16.0,0.0,2.0,,,1.0,28.0,4.0,,168.0,,,,,,2.9,
2020-04-19,22.0,108,108.0,0.0,16.0,1.0,3.0,,,0.0,32.0,4.0,,197.0,,,,,,3.2,43.0
2020-04-20,24.0,132,132.0,0.0,16.0,0.0,3.0,,,2.0,40.0,8.0,,212.0,,,,,,2.0,45.2
2020-04-21,3.0,135,135.0,0.0,16.0,1.0,4.0,,,0.0,43.0,3.0,,274.0,,,,,,1.9,45.5
2020-04-22,16.0,151,151.0,0.0,21.0,0.0,4.0,,,0.0,45.0,2.0,,304.0,,,,,,1.9,43.4
2020-04-23,17.0,168,168.0,0.0,23.0,0.0,4.0,,,49.0,0.0,-45.0,,,,,,,,1.8,47.8
2020-04-24,41.0,209,209.0,0.0,24.0,0.0,4.0,19388.0,,8.0,0.0,0.0,,0.0,,,,,,1.8,46.1
2020-04-25,38.0,247,247.0,0.0,39.0,0.0,4.0,22314.0,2926.0,413.0,12.0,12.0,55.0,0.0,0.0,468.0,,,,2.8,48.9
2020-04-26,58.0,305,305.0,0.0,39.0,0.0,4.0,23261.0,947.0,481.0,13.0,1.0,65.0,26.0,3.0,546.0,,,,3.1,45.9
2020-04-27,42.0,347,347.0,0.0,39.0,0.0,4.0,24819.0,1558.0,522.0,17.0,4.0,75.0,34.0,6.0,597.0,,,,1.7,43.4
2020-04-28,60.0,407,407.0,0.0,53.0,0.0,4.0,27053.0,2234.0,544.0,23.0,6.0,86.0,34.0,8.0,630.0,,,,1.9,40.7
2020-04-29,29.0,436,436.0,0.0,63.0,0.0,4.0,29672.0,2619.0,574.0,23.0,0.0,78.0,32.0,8.0,652.0,,,,1.8,44.9
2020-04-30,35.0,471,471.0,0.0,78.0,0.0,4.0,33087.0,3415.0,636.0,25.0,2.0,84.0,17.0,9.0,720.0,,,,1.5,39.9
