Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-03-09,2672829,2672884,2672778,3455,3501,3407,10287,10293,10282,87682,87683,87681,684,685,683,44,45,44,5306,5306,5304,1007,1007,1007,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-10,2672952,2673056,2672850,3168,3250,3084,9570,9588,9551,88637,88640,88634,611,613,611,42,43,40,5309,5310,5306,922,934,909,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-11,2673114,2673264,2672963,2907,3017,2799,8894,8929,8857,89485,89491,89478,538,540,537,39,41,37,5312,5313,5308,845,867,823,0.4707564660001948,0.6530851821590066,0.3191360335756621,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-12,2673322,2673513,2673123,2662,2793,2539,8257,8313,8202,90123,90135,90111,572,575,570,36,39,35,5315,5316,5310,775,805,747,0.4707564660001948,0.6530851821590066,0.3191360335756621,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-13,2673564,2673793,2673318,2440,2586,2307,7659,7737,7585,90804,90825,90781,470,473,468,34,37,32,5317,5320,5311,710,745,677,0.331669328318319,0.4601281965211182,0.22484584183739828,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-14,2673934,2674188,2673657,2151,2297,2021,7089,7186,6998,91342,91375,91308,420,424,417,32,34,29,5320,5322,5312,651,690,615,0.26747526477283795,0.37107112622670824,0.18132729180435345,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-15,2674370,2674642,2674067,1865,2004,1744,6537,6651,6433,91723,91770,91676,441,446,437,30,32,27,5322,5325,5314,574,613,539,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-16,2674703,2675006,2674358,1730,1879,1604,6018,6146,5902,92024,92085,91963,462,468,456,28,31,25,5324,5328,5315,497,534,465,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-17,2675059,2675392,2674672,1603,1760,1476,5542,5685,5416,92258,92335,92180,475,482,467,27,30,24,5326,5330,5316,461,501,428,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-18,2675435,2675796,2675008,1485,1647,1357,5106,5262,4970,92543,92641,92445,367,373,361,25,28,22,5328,5332,5317,427,469,393,0.4707564660001948,0.6530851821590066,0.3191360335756621,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-19,2675835,2676223,2675370,1370,1534,1244,4705,4874,4561,92683,92801,92566,342,349,335,24,27,21,5330,5335,5318,396,439,362,0.4707564660001948,0.6530851821590066,0.3191360335756621,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-20,2676252,2676664,2675751,1264,1429,1141,4336,4516,4186,92803,92945,92664,280,286,274,22,25,19,5331,5337,5319,365,409,332,0.331669328318319,0.4601281965211182,0.22484584183739828,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-21,2676737,2677165,2676211,1119,1273,1006,3991,4180,3837,92747,92911,92590,341,352,331,20,23,18,5333,5339,5320,337,381,304,0.26747526477283795,0.37107112622670824,0.18132729180435345,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
2022-03-22,2677255,2677694,2676712,973,1114,872,3662,3856,3507,92796,92988,92614,248,257,241,19,22,17,5334,5341,5321,298,339,268,0.4814554765911084,0.6679280272080749,0.3263891252478362,0.07828143491442459,0.04815187419233252,0.026723014673511514,0.015319509578109267,0.01911423859788215,0.0017564797954344187,0.4407721692617864,0.07232389744945399
