Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-04-01,2680270,2680282,2680260,999,1009,989,2190,2191,2189,91275,91276,91275,109,109,109,20,21,20,5425,5425,5425,268,268,268,0.8768039973341708,0.991147804864284,0.8114300766662011,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-02,2680660,2680682,2680640,983,999,965,2097,2101,2093,90999,91000,90998,104,104,104,20,21,20,5425,5425,5425,266,269,264,0.8768039973341708,0.991147804864284,0.8114300766662011,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-03,2681054,2681089,2681026,965,984,939,2014,2020,2006,90712,90713,90709,100,100,99,21,22,19,5425,5425,5425,262,266,257,0.6177482708490749,0.6983086806998363,0.5716893721966416,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-04,2681511,2681555,2681478,891,915,863,1931,1942,1919,90415,90417,90411,95,95,94,20,22,19,5425,5425,5425,257,262,250,0.4981840893944153,0.5631521618547067,0.4610398162876142,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-05,2681999,2682050,2681960,804,826,775,1844,1857,1827,90101,90105,90095,96,96,95,20,22,19,5425,5426,5425,237,244,230,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-06,2682413,2682474,2682362,799,826,766,1759,1775,1738,89793,89798,89783,81,82,81,20,22,18,5425,5426,5425,214,220,206,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-07,2682829,2682903,2682769,790,820,752,1684,1704,1658,89467,89475,89454,75,76,74,19,21,18,5425,5426,5425,213,220,204,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-08,2683249,2683336,2683178,778,816,737,1617,1641,1587,89132,89144,89116,69,70,68,19,20,17,5425,5426,5425,210,219,200,0.8768039973341708,0.991147804864284,0.8114300766662011,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-09,2683674,2683775,2683585,762,808,716,1557,1585,1521,88790,88805,88768,64,65,63,18,20,16,5425,5426,5425,207,217,196,0.8768039973341708,0.991147804864284,0.8114300766662011,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-10,2684102,2684217,2683991,744,800,695,1501,1536,1460,88444,88464,88418,56,57,55,17,19,15,5425,5426,5425,203,215,191,0.6177482708490749,0.6983086806998363,0.5716893721966416,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-11,2684577,2684702,2684452,686,744,638,1444,1487,1399,88086,88110,88053,54,56,53,16,18,14,5425,5427,5425,198,213,185,0.4981840893944153,0.5631521618547067,0.4610398162876142,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-12,2685074,2685206,2684940,617,672,572,1382,1431,1334,87714,87743,87676,60,62,58,15,17,14,5425,5427,5425,183,198,170,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-13,2685514,2685658,2685365,612,669,565,1322,1375,1270,87341,87375,87295,60,62,59,15,17,13,5425,5427,5425,164,179,152,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
2022-04-14,2685955,2686112,2685788,604,666,554,1268,1326,1213,86973,87015,86919,50,52,48,14,16,13,5425,5427,5425,163,178,150,0.8967313609099475,1.0136738913384722,0.8298716693177057,0.0951132135921835,0.0679251384993928,0.0694691731651592,0.0316656902718542,0.0957222141236435,0.0056057864409058,0.0093475954319315,0.01349833870738
